INVESTMENT NAME,1 YEAR,3 YEAR,5 YEAR,GROWTH AA,DEF AA,DATE
MDA Active Conservative - Unlisted (No TDs),6.55,1.25,2.63,19,81,30/06/2024
MDA Active Conservative - Unlisted (No TDs),7.46,1.38,2.79,19,81,31/07/2024
MDA Active Conservative - Unlisted (No TDs),7.83,1.35,2.81,19,81,31/08/2024
MDA Active Conservative - Unlisted (No TDs),9.97,1.89,2.92,19,81,30/09/2024
MDA Active Conservative - Unlisted (No TDs),10.17,2,2.79,19,81,31/10/2024
MDA Active Conservative - Unlisted (No TDs),9.24,2.22,2.87,19,81,30/11/2024
MDA Active Conservative - Unlisted (No TDs),6.78,2.11,3.1,19,81,31/12/2024
MDA Active Conservative - Unlisted (No TDs),7.15,3.04,2.85,19,81,31/01/2025
MDA Active Balanced - Unlisted (No TDs),13.14,6.41,6.01,59,41,31/01/2025
MDA Active Balanced - Unlisted (No TDs),12.21,4.46,6.22,59,41,31/12/2024
MDA Active Balanced - Unlisted (No TDs),15.93,5.03,5.97,59,41,30/11/2024
MDA Active Balanced - Unlisted (No TDs),16.54,4.51,5.92,59,41,31/10/2024
MDA Active Balanced - Unlisted (No TDs),14.54,4.32,5.88,59,41,30/09/2024
MDA Active Balanced - Unlisted (No TDs),10.99,3.55,5.76,59,41,31/08/2024
MDA Active Balanced - Unlisted (No TDs),14.54,4.32,5.88,59,41,30/09/2024
MDA Active Balanced - Unlisted (No TDs),10.74,4.11,5.69,59,41,31/07/2024
MDA Active Balanced - Unlisted (No TDs),9.43,3.87,5.43,59,41,30/06/2024
MDA Active Balanced - Unlisted (No TDs),9.29,6.68,7.64,59,41,30/04/2025
MDA Active Balanced - Unlisted (No TDs),10.13,6.72,6.51,59,41,28/02/2025
MDA Active Balanced - Unlisted (No TDs),5.86,5.87,8.19,59,41,31/03/2025
MDA Active Conservative - Unlisted (No TDs),7.45,4.64,3.87,19,81,30/04/2025
MDA Active Conservative - Unlisted (No TDs),4.86,3.8,3.98,19,81,31/03/2025
MDA Active Conservative - Unlisted (No TDs),6.94,3.64,3.11,19,81,28/02/2025
MDA Active Defensive - Unlisted (No TDs),9.33,4.31,3.99,35,65,31/01/2025
MDA Active Defensive - Unlisted (No TDs),8.82,3.06,4.24,35,65,31/12/2024
MDA Active Defensive - Unlisted (No TDs),11.64,3.33,4,35,65,30/11/2024
MDA Active Defensive - Unlisted (No TDs),12.36,3.01,3.93,35,65,31/10/2024
MDA Active Defensive - Unlisted (No TDs),11.56,2.84,3.99,35,65,30/09/2024
MDA Active Defensive - Unlisted (No TDs),8.96,2.23,3.88,35,65,31/08/2024
MDA Active Defensive - Unlisted (No TDs),8.73,2.46,3.85,35,65,31/07/2024
MDA Active Defensive - Unlisted (No TDs),7.54,2.27,3.65,35,65,30/06/2024
MDA Active Defensive - Unlisted (No TDs),8.25,5.45,5.24,35,65,30/04/2025
MDA Active Defensive - Unlisted (No TDs),5.32,4.66,5.49,35,65,31/03/2025
MDA Active Defensive - Unlisted (No TDs),8.19,4.83,4.35,35,65,28/02/2025
MDA Active Growth - Unlisted (No TDs),10.12,4.45,6.14,67,33,30/06/2024
MDA Active Growth - Unlisted (No TDs),11.51,4.69,6.43,67,33,31/07/2024
MDA Active Growth - Unlisted (No TDs),11.72,3.98,6.51,67,33,31/08/2024
MDA Active Growth - Unlisted (No TDs),15.55,4.84,6.61,67,33,30/09/2024
MDA Active Growth - Unlisted (No TDs),17.94,5.04,6.72,67,33,31/10/2024
MDA Active Growth - Unlisted (No TDs),17.47,5.63,6.74,67,33,30/11/2024
MDA Active Growth - Unlisted (No TDs),13.62,4.95,7,67,33,31/12/2024
MDA Active Growth - Unlisted (No TDs),14.61,7.14,6.76,67,33,31/01/2025
MDA Active Growth - Unlisted (No TDs),9.86,7.2,8.69,67,33,30/04/2025
MDA Active Growth - Unlisted (No TDs),6.38,6.4,9.41,67,33,31/03/2025
MDA Active Growth - Unlisted (No TDs),11.07,7.5,7.41,67,33,28/02/2025
MDA Active Growth Plus - Unlisted (No TDs),12.59,5.67,7.55,89,11,30/06/2024
MDA Active Growth Plus - Unlisted (No TDs),13.95,6.02,7.87,89,11,31/07/2024
MDA Active Growth Plus - Unlisted (No TDs),14.11,5.02,8.08,89,11,31/08/2024
MDA Active Growth Plus - Unlisted (No TDs),19.01,6.07,8.14,89,11,30/09/2024
MDA Active Growth Plus - Unlisted (No TDs),22.9,6.36,8.36,89,11,31/10/2024
MDA Active Growth Plus - Unlisted (No TDs),22.61,7.32,8.38,89,11,30/11/2024
MDA Active Growth Plus - Unlisted (No TDs),17.73,6.44,8.72,89,11,31/12/2024
MDA Active Growth Plus - Unlisted (No TDs),19.11,9.54,8.55,89,11,31/01/2025
MDA Active Growth Plus - Unlisted (No TDs),10.97,8.59,11.01,89,11,30/04/2025
MDA Active Growth Plus - Unlisted (No TDs),6.78,7.63,12.18,89,11,31/03/2025
MDA Active Growth Plus - Unlisted (No TDs),13.24,9.57,9.45,89,11,28/02/2025
MDA Active High Growth - Unlisted (No TDs),11.35,5.24,7.08,79,21,30/06/2024
MDA Active High Growth - Unlisted (No TDs),12.79,5.52,7.39,79,21,31/07/2024
MDA Active High Growth - Unlisted (No TDs),12.96,4.62,7.53,79,21,31/08/2024
